route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0009","20331000052","20331033332","Saint-Laurent","","1","09-36.2714295","0009-B-1390-1372","1",""
"0009","20331000015","20331033333","Cleunay","","0","09-3.2713973","0009-A-1372-1390","1",""
"0009","20331000023","20331033334","Cleunay","","0","09-3.2708252","0009-A-1372-1390","1",""
"0009","20331000025","20331033335","Cleunay","","0","09-3.2713108","0009-A-1372-1390","1",""
"0009","20331000033","20331033336","Cleunay","","0","09-3.2713404","0009-A-1372-1390","1",""
"0009","20331000039","20331033337","Cleunay","","0","09-3.2713700","0009-A-1372-1390","1",""
"0009","20331000052","20331033338","Cleunay","","0","09-3.2714296","0009-A-1372-1390","1",""
"0009","20331000015","20331033339","Cleunay","","0","09-2.2713950","0009-A-1372-1390","1",""
"0050","20331000015","20331003334","Rennes République","","0","50-5.2713775","0050-A-3301-1563","1",""
"0009","20331000023","20331033340","Cleunay","","0","09-2.2708123","0009-A-1372-1390","1",""
"0009","20331000025","20331033341","Cleunay","","0","09-2.2713077","0009-A-1372-1390","1",""
"0009","20331000033","20331033342","Cleunay","","0","09-2.2713373","0009-A-1372-1390","1",""
"0009","20331000039","20331033343","Cleunay","","0","09-2.2713669","0009-A-1372-1390","1",""
"0009","20331000052","20331033344","Cleunay","","0","09-2.2714265","0009-A-1372-1390","1",""
"0009","20331000015","20331033345","Saint-Laurent","","1","09-32.2713971","0009-B-1390-1372","1",""
"0009","20331000023","20331033346","Saint-Laurent","","1","09-32.2708250","0009-B-1390-1372","1",""
"0009","20331000025","20331033347","Saint-Laurent","","1","09-32.2713106","0009-B-1390-1372","1",""
"0009","20331000033","20331033348","Saint-Laurent","","1","09-32.2713402","0009-B-1390-1372","1",""
"0009","20331000039","20331033349","Saint-Laurent","","1","09-32.2713698","0009-B-1390-1372","1",""
"0050","20331000023","20331003335","Rennes République","","0","50-5.2708035","0050-A-3301-1563","1",""
"0009","20331000052","20331033350","Saint-Laurent","","1","09-32.2714294","0009-B-1390-1372","1",""
"0009","20331000015","20331033351","Saint-Laurent","","1","09-37.2713975","0009-B-1390-1372","1",""
"0009","20331000023","20331033352","Saint-Laurent","","1","09-37.2708254","0009-B-1390-1372","1",""
"0009","20331000025","20331033353","Saint-Laurent","","1","09-37.2713110","0009-B-1390-1372","1",""
"0009","20331000033","20331033354","Saint-Laurent","","1","09-37.2713406","0009-B-1390-1372","1",""
"0009","20331000039","20331033355","Saint-Laurent","","1","09-37.2713702","0009-B-1390-1372","1",""
"0009","20331000052","20331033356","Saint-Laurent","","1","09-37.2714298","0009-B-1390-1372","1",""
"0009","20331000015","20331033357","Cleunay","","0","09-33.2713968","0009-A-1372-1390","1",""
"0009","20331000023","20331033358","Cleunay","","0","09-33.2708247","0009-A-1372-1390","1",""
"0009","20331000025","20331033359","Cleunay","","0","09-33.2713103","0009-A-1372-1390","1",""
"0050","20331000025","20331003336","Rennes République","","0","50-5.2712884","0050-A-3301-1563","1",""
"0009","20331000033","20331033360","Cleunay","","0","09-33.2713399","0009-A-1372-1390","1",""
"0009","20331000039","20331033361","Cleunay","","0","09-33.2713695","0009-A-1372-1390","1",""
"0009","20331000052","20331033362","Cleunay","","0","09-33.2714291","0009-A-1372-1390","1",""
"0009","20331000015","20331033363","Cleunay","","0","09-31.2713970","0009-A-1372-1390","1",""
"0009","20331000023","20331033364","Cleunay","","0","09-31.2708249","0009-A-1372-1390","1",""
"0009","20331000025","20331033365","Cleunay","","0","09-31.2713105","0009-A-1372-1390","1",""
"0009","20331000033","20331033366","Cleunay","","0","09-31.2713401","0009-A-1372-1390","1",""
"0009","20331000039","20331033367","Cleunay","","0","09-31.2713697","0009-A-1372-1390","1",""
"0009","20331000052","20331033368","Cleunay","","0","09-31.2714293","0009-A-1372-1390","1",""
"0009","20331000015","20331033369","Saint-Laurent","","1","09-1.2713959","0009-B-1390-1372","1",""
"0050","20331000033","20331003337","Rennes République","","0","50-5.2713180","0050-A-3301-1563","1",""
"0009","20331000023","20331033370","Saint-Laurent","","1","09-1.2708154","0009-B-1390-1372","1",""
"0009","20331000025","20331033371","Saint-Laurent","","1","09-1.2713090","0009-B-1390-1372","1",""
"0009","20331000033","20331033372","Saint-Laurent","","1","09-1.2713386","0009-B-1390-1372","1",""
"0009","20331000039","20331033373","Saint-Laurent","","1","09-1.2713681","0009-B-1390-1372","1",""
"0009","20331000052","20331033374","Saint-Laurent","","1","09-1.2714278","0009-B-1390-1372","1",""
"0009","20331000015","20331033375","Cleunay","","0","09-35.2713976","0009-A-1372-1390","1",""
"0009","20331000023","20331033376","Cleunay","","0","09-35.2708255","0009-A-1372-1390","1",""
"0009","20331000025","20331033377","Cleunay","","0","09-35.2713111","0009-A-1372-1390","1",""
